Area  ,Item             ,Year ,hg/ha_yield ,average_rain_fall_mm_per_year ,pesticides_tonnes ,avg_temp ,kg_per_ha_yield
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.58 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.88 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.79 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   24.1  ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.25 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.44 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.54 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.36 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.91 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.16 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.77 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.12 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   24.1  ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.68 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.54 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.44 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   24.78 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.59 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   24.37 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.63 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   26.63 ,        20538.1
India ,Cassava          ,1990 ,     205381 ,                         1083 ,         75000.0  ,   25.64 ,        20538.1
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.58 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.88 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.79 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   24.1  ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.25 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.44 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.54 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.36 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.91 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.16 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.77 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.12 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   24.1  ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.68 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.54 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.44 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   24.78 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.59 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   24.37 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.63 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   26.63 ,         1517.8
India ,Maize            ,1990 ,      15178 ,                         1083 ,         75000.0  ,   25.64 ,         1517.8
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.58 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.88 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.79 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   24.1  ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.25 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.44 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.54 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.36 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.91 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.16 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.77 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.12 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   24.1  ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.68 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.54 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.44 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   24.78 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.59 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   24.37 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.63 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   26.63 ,        15713.6
India ,Potatoes         ,1990 ,     157136 ,                         1083 ,         75000.0  ,   25.64 ,        15713.6
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.58 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.88 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.79 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   24.1  ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.25 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.44 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.54 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.36 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.91 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.16 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.77 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.12 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   24.1  ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.68 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.54 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.44 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   24.78 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.59 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   24.37 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.63 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   26.63 ,         2612.5
India ,"""Rice Paddy""" ,1990 ,      26125 ,                         1083 ,         75000.0  ,   25.64 ,         2612.5
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.58 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   26.88 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.79 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   24.1  ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.25 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.44 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.54 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   26.36 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   26.91 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.16 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.77 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.12 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   24.1  ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.68 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.54 ,          813.6
India ,Sorghum          ,1990 ,       8136 ,                         1083 ,         75000.0  ,   25.44 ,          813.6
