Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,yield_kg_ha,heat_stress_degreedays,drought_intensity,ndvi,ndvi_adjusted,soil_ph,soil_nitrogen,soil_organic_carbon,msp_trend,temp_rainfall_interaction,rainfall_deviation,rainfall_squared,temp_squared,pesticide_per_rainfall,year_normalized
India ,Cassava          ,1990,1083,75000.0,25.58,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27703.14,0.0,1172889,654.3363999999999,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,26.88,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,29111.039999999997,0.0,1172889,722.5343999999999,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.79,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27930.57,0.0,1172889,665.1241,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,24.1,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,26100.300000000003,0.0,1172889,580.8100000000001,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.25,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27345.75,0.0,1172889,637.5625,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.44,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27551.52,0.0,1172889,647.1936000000001,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.54,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27659.82,0.0,1172889,652.2915999999999,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,26.36,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,28547.88,0.0,1172889,694.8496,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,26.91,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,29143.53,0.0,1172889,724.1481,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.16,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27248.28,0.0,1172889,633.0256,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.77,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27908.91,0.0,1172889,664.0929,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.12,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27204.960000000003,0.0,1172889,631.0144,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,24.1,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,26100.300000000003,0.0,1172889,580.8100000000001,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.68,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27811.44,0.0,1172889,659.4624,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.54,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27659.82,0.0,1172889,652.2915999999999,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,25.44,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,27551.52,0.0,1172889,647.1936000000001,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,24.78,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,26836.74,0.0,1172889,614.0484,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,26.59,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,28796.97,0.0,1172889,707.0281,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,24.37,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,26392.710000000003,0.0,1172889,593.8969000000001,69.18819188191883,0.0
India ,Cassava          ,1990,1083,75000.0,26.63,20538.1,0.0,0.0,0.65,1.0,6.5,150,12.5,1.0,28840.289999999997,0.0,1172889,709.1569,69.18819188191883,0.0
