year, Crop                                                                                                                              , Yield_kg_per_ha, rainfall_mean     , rainfall_std      , rainfall_total, rainfall_deviation
2009, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           684.4, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           736.7, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           774.7, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           774.6, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           784.0, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           790.9, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           799.4, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           714.9, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           989.0, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                     "  ,           961.0, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           912.4, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           928.5, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",           998.4, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",          1009.4, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, "Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",          1026.4, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Apples                                                                                                                            ,          7244.5, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Apples                                                                                                                            ,          6282.1, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Apples                                                                                                                            ,         10000.0, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Apples                                                                                                                            ,          6845.0, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Apples                                                                                                                            ,          6137.8, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Apples                                                                                                                            ,          7978.8, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Apples                                                                                                                            ,          6689.7, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Apples                                                                                                                            ,          9101.1, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Apples                                                                                                                            ,          7426.2, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Apples                                                                                                                            ,          7730.9, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Apples                                                                                                                            ,          7519.5, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Apples                                                                                                                            ,          9077.4, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Apples                                                                                                                            ,          7271.6, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, Apples                                                                                                                            ,          8219.0, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
