Year,Crop,Yield_kg_per_ha
1961,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.0
1962,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.0
1963,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.0
1964,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.0
1965,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.0
1966,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",494.8
1967,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",494.8
1968,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",494.8
1969,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",452.6
1970,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",452.6
1971,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",452.6
1972,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",432.7
1973,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",432.7
1974,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",432.7
1975,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",436.1
1976,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",467.9
1977,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",615.0
1978,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",503.6
1979,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",508.4
1980,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",569.8
1981,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",593.3
1982,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",500.8
1983,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",640.0
1984,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",605.3
1985,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",526.5
1986,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",532.0
1987,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",462.2
1988,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",544.1
1989,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",396.0
1990,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",591.2
1991,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",479.7
1992,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",463.2
1993,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",411.7
1994,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",358.9
1995,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",366.7
1996,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",403.9
1997,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",425.3
1998,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",438.1
1999,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",470.9
2000,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",484.0
2001,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",430.3
2002,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",296.8
2003,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",534.5
2004,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",553.1
2005,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",584.4
2006,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",568.1
2007,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",701.3
2008,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",657.5
2009,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",684.4
2010,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",736.7
2011,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",774.7
2012,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",774.6
2013,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",784.0
2014,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",790.9
2015,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",799.4
2016,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",714.9
2017,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw                                                       ",989.0
