Unnamed: 0, Area , Item          , Year, hg/ha_yield, average_rain_fall_mm_per_year, pesticides_tonnes, avg_temp, kg_per_ha_yield
     10502, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.58,         20538.1
     10503, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.88,         20538.1
     10504, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.79,         20538.1
     10505, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    24.1 ,         20538.1
     10506, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.25,         20538.1
     10507, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.44,         20538.1
     10508, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.54,         20538.1
     10509, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.36,         20538.1
     10510, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.91,         20538.1
     10511, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.16,         20538.1
     10512, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.77,         20538.1
     10513, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.12,         20538.1
     10514, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    24.1 ,         20538.1
     10515, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.68,         20538.1
     10516, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.54,         20538.1
     10517, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.44,         20538.1
     10518, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    24.78,         20538.1
     10519, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.59,         20538.1
     10520, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    24.37,         20538.1
     10521, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.63,         20538.1
     10522, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    26.63,         20538.1
     10523, India, Cassava       , 1990,      205381,                        1083.0,          75000.0 ,    25.64,         20538.1
     10524, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.58,          1517.8
     10525, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.88,          1517.8
     10526, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.79,          1517.8
     10527, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    24.1 ,          1517.8
     10528, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.25,          1517.8
     10529, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.44,          1517.8
     10530, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.54,          1517.8
     10531, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.36,          1517.8
     10532, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.91,          1517.8
     10533, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.16,          1517.8
     10534, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.77,          1517.8
     10535, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.12,          1517.8
     10536, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    24.1 ,          1517.8
     10537, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.68,          1517.8
     10538, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.54,          1517.8
     10539, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.44,          1517.8
     10540, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    24.78,          1517.8
     10541, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.59,          1517.8
     10542, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    24.37,          1517.8
     10543, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.63,          1517.8
     10544, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    26.63,          1517.8
     10545, India, Maize         , 1990,       15178,                        1083.0,          75000.0 ,    25.64,          1517.8
     10546, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.58,         15713.6
