state,crop_year,season,crop,yield_kg_ha
Madhya Pradesh,2009,Whole Year,Sweet potato,5948.813268515871
Madhya Pradesh,2025,Kharif,Sunflower,1100.3416040698635
Nagaland,2001,Kharif,Jute,1000.0
Jharkhand,2004,Whole Year,Sugarcane,25706.76096285246
Uttar Pradesh,2026,Rabi,Linseed,610.6412799563795
Bihar,2014,Rabi,Lentil,975.0001594974343
Jammu and Kashmir,2011,Kharif,Potato,7306.403940886699
Chhattisgarh,2024,Whole Year,Sweet potato,5210.1507860574975
Odisha,2015,Winter,Potato,10173.480270174192
Uttar Pradesh,2004,Kharif,Arhar/Tur,814.7561963899041
Jammu and Kashmir,2018,Kharif,Peas & beans (Pulses),4293.939393939394
Assam,2006,Rabi,Peas & beans (Pulses),612.0252833934076
Andhra Pradesh,2018,Kharif,Castor seed,419.09347788478175
Madhya Pradesh,2024,Whole Year,Sesamum,579.9333566497075
Mizoram,2023,Kharif,Maize,1741.0795537274314
Puducherry,2017,Kharif,Turmeric,3000.0
Goa,2021,Whole Year,other oilseeds,3206.1936002815273
Madhya Pradesh,2020,Kharif,Arhar/Tur,1275.0436173525095
Karnataka,2013,Whole Year,Mango,7087.374041140197
Odisha,2026,Kharif,Small millets,466.55405202034154
Puducherry,2013,Kharif,Dry chillies,4000.0
Odisha,2009,Autumn,Moong(Green Gram),227.73917445124476
Uttarakhand,2008,Kharif,Other Cereals,1181.9534593690655
Rajasthan,2020,Rabi,Barley,2650.872942574389
Tripura,2000,Kharif,Rice,2252.5198502488993
Puducherry,2024,Rabi,Other  Rabi pulses,1457.0168993387215
Jammu and Kashmir,2006,Kharif,Groundnut,512.8205128205128
Kerala,2023,Whole Year,Garlic,1240.8646791453418
Tamil Nadu,2004,Whole Year,Tapioca,41267.90187089132
Chhattisgarh,2012,Rabi,Gram,1138.000671917578
Meghalaya,2011,Rabi,Linseed,482.3529411764706
Bihar,2020,Rabi,Gram,1130.4488346558628
Sikkim,2009,Kharif,Small millets,983.5294117647059
Himachal Pradesh,2012,Rabi,Linseed,369.09871244635195
Tamil Nadu,2014,Whole Year,Ginger,4231.511254019292
Kerala,2016,Whole Year,Groundnut,1410.6145251396647
Jharkhand,2014,Autumn,Maize,2166.178513762157
Uttar Pradesh,2018,Kharif,Small millets,755.0180980585719
Sikkim,2015,Kharif,Small millets,1020.3294777427269
Andhra Pradesh,2023,Whole Year,Ginger,3599.5422418864796
Himachal Pradesh,2023,Kharif,Turmeric,762.2946776500766
Jammu and Kashmir,2008,Rabi,Urad,454.54545454545456
Maharashtra,2010,Whole Year,Sugarcane,88845.51581130119
Bihar,2009,Rabi,Rapeseed &Mustard,1019.4375055758766
Jammu and Kashmir,2001,Kharif,Jowar,571.4285714285714
Uttarakhand,2005,Rabi,Gram,698.0088495575221
Kerala,2014,Whole Year,Arhar/Tur,1289.2953929539296
Telangana,2015,Kharif,Arhar/Tur,419.78635551928375
Jammu and Kashmir,2010,Rabi,Linseed,1129.4117647058824
Karnataka,2001,Kharif,Horse-gram,527.8821187188722
Himachal Pradesh,2012,Kharif,Groundnut,863.6363636363636
Chhattisgarh,2011,Kharif,Bajra,467.741935483871
Assam,2016,Kharif,Small millets,616.3402821646663
Uttar Pradesh,2004,Kharif,Urad,493.95391059950003
Bihar,2008,Rabi,Safflower,813.953488372093
Meghalaya,2003,Kharif,Arhar/Tur,786.9458128078818
Bihar,2002,Kharif,Jowar,1009.9954566106315
Maharashtra,2024,Whole Year,Mango,8812.476318119583
Andhra Pradesh,2010,Rabi,Linseed,228.52081488042515
Rajasthan,2025,Rabi,Wheat,4616.578428301394
Nagaland,2000,Kharif,Arhar/Tur,1125.0
Manipur,2017,Rabi,Other  Rabi pulses,936.7807031373168
Himachal Pradesh,2012,Rabi,Barley,1726.5647533890972
Gujarat,2014,Rabi,Wheat,2811.4642634890633
Andhra Pradesh,2017,Kharif,Cotton(lint),3235.9342922188644
Karnataka,2006,Rabi,Linseed,306.03272816087275
Punjab,2022,Kharif,Moong(Green Gram),937.5997599166303
Chhattisgarh,2006,Kharif,Moong(Green Gram),283.62757461118116
Chhattisgarh,2006,Whole Year,Dry chillies,341.81876400896573
Chhattisgarh,2025,Whole Year,Sweet potato,6152.845750829515
Nagaland,2017,Kharif,Niger seed,1120.5846528623629
Chhattisgarh,2010,Rabi,Gram,956.5382281553398
Nagaland,2021,Rabi,Linseed,903.8729480447179
Karnataka,2017,Whole Year,Cashewnut,734.0847996089932
Karnataka,2007,Kharif,Bajra,774.232723482663
Chhattisgarh,2019,Kharif,Sannhamp,509.5541401273885
Odisha,2013,Winter,Potato,11598.439278166152
